ID,DESC_CLASIFICACION,COD_BARRIO,BARRIO,COD_DISTRITO,DISTRITO,ESTADO,COORD_GIS_X,COORD_GIS_Y,LATITUD,LONGITUD,TIPO_VIA,NOM_VIA,NUM_VIA,COD_POSTAL,DIRECCION_AUX,NDP,FECHA_INSTALACION,CODIGO_INTERNO,CONTRATO_COD,TOTAL_ELEM,tipo,COORD_GIS,SISTEMA_COORD
3568711,circuito deportivo elemental,85,la paz,8.0,fuencarral - el pardo,operativo,440597.41,4481480.16,40.48188796,-3.70085781,calle,pedro rico,1,28029.0,parque norte 3 (antonio lopez aguado),20103366.0,2017-03-08T00:00:00.000000Z,d0852,ae21,5,deportivas,"[-3.70085781, 40.48188796]",WGS84
3569210,circuito deportivo elemental,87,mirasierra,8.0,fuencarral - el pardo,operativo,438497.36,4482668.09,40.49243631,-3.72574853,calle,maria de maeztu,108,28049.0,"calle maria de maeztu, 108 c/v senda del infante",31052003.0,2017-10-09T00:00:00.000000Z,d0854,ae21,9,deportivas,"[-3.72574853, 40.49243631]",WGS84
3573005,circuito deportivo elemental,192,valdebernardo,19.0,vicalvaro,operativo,446968.13,4472539.44,40.40177615,-3.62495141,calle,ladera de los almendros,14e,28032.0,"ladera de los almendros, 000014  e",20151600.0,2013-10-20T00:00:00.000000Z,d1950,ae21,12,deportivas,"[-3.62495141, 40.40177615]",WGS84
3573016,circuito deportivo elemental,192,valdebernardo,19.0,vicalvaro,operativo,447538.38,4471701.76,40.3942659,-3.61816268,avenida,democracia,50,28031.0,"avda democracia, 000050",20165254.0,2013-10-20T00:00:00.000000Z,d1953,ae21,11,deportivas,"[-3.61816268, 40.3942659]",WGS84
3573208,circuito deportivo elemental,183,ensanche de vallecas,18.0,villa de vallecas,operativo,449416.79,4468380.84,40.36446486,-3.59576667,calle,maria teresa leon,1g,28051.0,"maria teresa leon, 000001  g",31026567.0,2013-10-20T00:00:00.000000Z,d1854,ae21,3,deportivas,"[-3.59576667, 40.36446486]",WGS84
3573331,circuito deportivo elemental,182,santa eugenia,18.0,villa de vallecas,operativo,448854.01,4469974.4,40.37878646,-3.60252257,calle,poza de la sal,3,28031.0,"poza de la sal, 000003",11131688.0,2013-10-23T00:00:00.000000Z,d1851,ae21,5,deportivas,"[-3.60252257, 40.37878646]",WGS84
3573333,circuito deportivo elemental,181,casco historico de vallecas,18.0,villa de vallecas,operativo,446970.232,4469259.493,40.37222835,-3.62465361,calle,babilafuente,2,28031.0,"babilafuente, 000002",20170570.0,2013-10-20T00:00:00.000000Z,d1853,ae21,4,deportivas,"[-3.62465361, 40.37222835]",WGS84
3573466,circuito deportivo elemental,181,casco historico de vallecas,18.0,villa de vallecas,operativo,446183.7,4469509.08,40.37442638,-3.63393894,carretera,villaverde a vallecas,289,28031.0,"ctra villaverde a vallecas, 000289",20180908.0,2013-10-20T00:00:00.000000Z,d1856,ae21,9,deportivas,"[-3.63393894, 40.37442638]",WGS84
4792795,circuito deportivo elemental,192,valdebernardo,19.0,vicalvaro,operativo,446881.88,4472327.78,40.39986388,-3.6259501,autovia,m-40,1500ex,28032.0,"autov m-40, 001500 ex",31031401.0,2017-12-20T00:00:00.000000Z,d1954,ae21,8,deportivas,"[-3.6259501, 40.39986388]",WGS84
4792812,circuito deportivo elemental,191,casco historico de vicalvaro,19.0,vicalvaro,operativo,449811.48,4473216.06,40.40804785,-3.5914992,calle,abad juan catalan,70,28032.0,"abad juan catalan, 000070",31037333.0,2017-12-18T00:00:00.000000Z,d1957,ae21,8,deportivas,"[-3.5914992, 40.40804785]",WGS84
4795141,circuito deportivo elemental,134,palomeras sureste,13.0,puente de vallecas,operativo,446093.72,4470974.62,40.38762311,-3.63512279,avenida,4795141-NOM_VIA-desconocido,48,28038.0,"avda miguel hernandez, 000048",20035278.0,2017-06-08T00:00:00.000000Z,d1355,ae21,6,deportivas,"[-3.63512279, 40.38762311]",WGS84
4986445,circuito deportivo elemental,172,san cristobal,17.0,villaverde,operativo,441299.28,4466363.19,40.34575667,-3.69118256,calle,beniferri,2,28021.0,"beniferri, 000002",11126150.0,2018-11-30T00:00:00.000000Z,d1756,ae21,11,deportivas,"[-3.69118256, 40.34575667]",WGS84
4988362,circuito deportivo elemental,52,prosperidad,5.0,chamartin,operativo,443204.75,4476943.93,40.44120593,-3.66969137,calle,corazon de maria,18,28002.0,parque puerta de america,20120209.0,2018-12-20T00:00:00.000000Z,d0502,ae21,4,deportivas,"[-3.66969137, 40.44120593]",WGS84
3568708,circuito deportivo elemental,97,aravaca,9.0,moncloa - aravaca,operativo,433267.98,4478349.75,40.45313183,-3.78699707,calle,escultor peresejo,60,28023.0,"escultor peresejo, 60-6 (parque arroyo pozuelo)",20063772.0,2006-01-25T00:00:00.000000Z,d0950,ae21,11,deportivas,"[-3.78699707, 40.45313183]",WGS84
3568959,circuito deportivo elemental,44,guindalera,4.0,salamanca,operativo,444014.4,4477014.43,40.44189594,-3.66015134,avenida,brasilia,6,28028.0,"avenida de brasilia, 6",31026007.0,2017/06/01,d0451,ae21,6,deportivas,"[-3.66015134, 40.44189594]",WGS84
3569421,circuito deportivo elemental,62,cuatro caminos,6.0,tetuan,operativo,440796.97,4478265.17,40.45294029,-3.69820349,avenida,general peron,5,28020.0,3569421-DIRECCION_AUX-desconocido,11029966.0,2004-01-01T00:00:00.000000Z,d0652,ae21,9,deportivas,"[-3.69820349, 40.45294029]",WGS84
3573015,circuito deportivo elemental,191,casco historico de vicalvaro,19.0,vicalvaro,operativo,449242.72,4473418.81,40.40983987,-3.59821817,paseo,polideportivo,144,28032.0,"paseo polideportivo, 000144",20154043.0,3573015,d1951,ae21,11,deportivas,"[-3.59821817, 40.40983987]",WGS84
3573050,circuito deportivo elemental,113,san isidro,11.0,carabanchel,operativo,438262.05,4471523.78,40.39202662,-3.72744201,calle,el toboso,25,28019.0,"el toboso, 000025",11073134.0,2017/09/14,d1156,ae21,13,deportivas,"[-3.72744201, 40.39202662]",WGS84
3573330,circuito deportivo elemental,182,santa eugenia,18.0,villa de vallecas,operativo,448301.55,4470260.53,40.38133003,-3.60905366,calle,zazuar,12,28031.0,"zazuar, 000012",31011883.0,2013-10-23T00:00:00.000000Z,d1850,ae21,10,deportivas,"[-3.60905366, 40.38133003]",WGS84
3573332,circuito deportivo elemental,182,santa eugenia,18.0,villa de vallecas,operativo,448611.62,4469846.57,40.37761997,-3.60536757,calle,poza de la sal,19,28031.0,"poza de la sal, 000019",11131700.0,2013-10-23T00:00:00.000000Z,d1855,ae21,7,deportivas,"[-3.60536757, 40.37761997]",WGS84
3573350,circuito deportivo elemental,181,casco historico de vallecas,18.0,villa de vallecas,operativo,447019.82,4469328.46,40.3728528,-3.62407526,calle,babilafuente,1,28031.0,"babilafuente, 000001",20170576.0,2013-10-20T00:00:00.000000Z,d1852,ae21,11,deportivas,"[-3.62407526, 40.3728528]",WGS84
