ID,PUNTUACION_ACCESIBILIDAD,PUNTUACION_CALIDAD,COMENTARIOS,AreaRecreativaID,FECHA
1,2,1,regular,18510,2021-03-27T00:00:00.000000Z
2,5,5,excelente,52143,2023-03-25T00:00:00.000000Z
3,1,1,deficiente,6907760,2022-03-19T00:00:00.000000Z
4,2,1,regular,9187084,2021-06-25T00:00:00.000000Z
5,3,2,aceptable,17256,2023-12-28T00:00:00.000000Z
6,5,5,excelente,18570,2021-12-09T00:00:00.000000Z
7,1,1,deficiente,17647,2021-02-22T00:00:00.000000Z
8,1,2,regular,52103,2022-12-15T00:00:00.000000Z
9,1,1,deficiente,52195,2021-10-07T00:00:00.000000Z
10,2,2,aceptable,52223,2023-05-24T00:00:00.000000Z
11,1,1,deficiente,18345,2021-05-30T00:00:00.000000Z
12,2,2,aceptable,18371,2023-08-13T00:00:00.000000Z
13,5,5,excelente,16716,2023-09-15T00:00:00.000000Z
14,4,4,excelente,4749900,2021-03-02T00:00:00.000000Z
15,5,4,excelente,18055,2022-05-19T00:00:00.000000Z
16,2,2,aceptable,18099,2021-04-13T00:00:00.000000Z
17,5,4,excelente,17373,2021-01-19T00:00:00.000000Z
18,1,1,deficiente,18330,2022-04-12T00:00:00.000000Z
19,5,5,excelente,17407,2022-06-29T00:00:00.000000Z
20,5,5,excelente,16677,2022-07-22T00:00:00.000000Z
21,5,5,excelente,18435,2022-08-11T00:00:00.000000Z
22,5,4,excelente,17300,2023-05-04T00:00:00.000000Z
23,5,4,excelente,18378,2021-07-17T00:00:00.000000Z
24,1,1,deficiente,18278,2023-07-31T00:00:00.000000Z
25,4,4,excelente,17409,2021-12-15T00:00:00.000000Z
26,2,1,regular,17977,2023-01-03T00:00:00.000000Z
27,2,2,aceptable,17685,2023-11-04T00:00:00.000000Z
28,1,1,deficiente,52158,2022-09-26T00:00:00.000000Z
29,4,3,muy bueno,17555,2021-09-08T00:00:00.000000Z
30,5,5,excelente,17760,2021-04-27T00:00:00.000000Z
31,2,2,aceptable,3991087,2022-11-04T00:00:00.000000Z
32,4,3,muy bueno,18620,2021-03-26T00:00:00.000000Z
33,3,4,muy bueno,17008,2023-01-04T00:00:00.000000Z
34,2,1,regular,18083,2023-10-08T00:00:00.000000Z
35,3,3,muy bueno,18630,2021-06-10T00:00:00.000000Z
36,1,2,regular,17045,2022-08-17T00:00:00.000000Z
37,2,2,aceptable,17419,2022-11-13T00:00:00.000000Z
38,1,1,deficiente,3558513,2023-01-31T00:00:00.000000Z
39,2,1,regular,18351,2023-09-17T00:00:00.000000Z
40,4,4,excelente,17092,2023-02-23T00:00:00.000000Z
41,4,4,excelente,17783,2022-11-30T00:00:00.000000Z
42,4,3,muy bueno,18528,2021-01-23T00:00:00.000000Z
43,2,2,aceptable,5195695,2022-02-13T00:00:00.000000Z
44,3,2,aceptable,17858,2021-08-27T00:00:00.000000Z
45,3,4,muy bueno,18410,2021-06-26T00:00:00.000000Z
46,1,1,deficiente,18557,2023-08-16T00:00:00.000000Z
47,2,2,aceptable,16967,2021-10-25T00:00:00.000000Z
48,1,1,deficiente,18193,2023-08-25T00:00:00.000000Z
49,4,4,excelente,17862,2023-06-12T00:00:00.000000Z
50,5,4,excelente,18395,2021-05-21T00:00:00.000000Z
51,1,2,regular,7928019,2021-07-24T00:00:00.000000Z
52,1,1,deficiente,8907322,2023-12-28T00:00:00.000000Z
53,3,4,muy bueno,4749896,2023-06-13T00:00:00.000000Z
54,4,5,excelente,17362,2023-04-15T00:00:00.000000Z
55,5,4,excelente,6819626,2023-03-26T00:00:00.000000Z
56,1,1,deficiente,52167,2022-06-18T00:00:00.000000Z
57,3,3,muy bueno,17675,2021-01-13T00:00:00.000000Z
58,4,5,excelente,17139,2022-04-19T00:00:00.000000Z
59,1,2,regular,17742,2021-03-26T00:00:00.000000Z
60,5,5,excelente,5654057,2022-04-18T00:00:00.000000Z
61,3,4,muy bueno,18011,2023-11-19T00:00:00.000000Z
62,3,2,aceptable,18149,2021-05-13T00:00:00.000000Z
63,2,3,aceptable,17786,2023-04-05T00:00:00.000000Z
64,5,5,excelente,6880820,2021-10-10T00:00:00.000000Z
65,4,3,muy bueno,18284,2022-10-11T00:00:00.000000Z
66,3,3,muy bueno,8914015,2023-02-12T00:00:00.000000Z
67,1,1,deficiente,16986,2023-05-03T00:00:00.000000Z
68,2,1,regular,7882665,2023-02-03T00:00:00.000000Z
69,5,5,excelente,17378,2021-08-15T00:00:00.000000Z
