ID,FECHA_REPORTE,TIPO_INCIDENTE,GRAVEDAD,AreaRecreativaID
fichero csv con los datos asociados a cada area,2024-06-13T00:00:00.000000Z,robo,alta,17538
2,2024-07-16T00:00:00.000000Z,caida,baja,16724
3,2021-03-09T00:00:00.000000Z,caida,critica,18191
4,2023-10-15T00:00:00.000000Z,accidente,media,52162
5,2022-06-25T00:00:00.000000Z,accidente,alta,17397
6,2020-06-08T00:00:00.000000Z,robo,baja,17260
7,2023-08-23T00:00:00.000000Z,vandalismo,critica,7928031
8,2022-01-15T00:00:00.000000Z,accidente,critica,17278
9,2024-08-27T00:00:00.000000Z,vandalismo,media,16729
10,2020-11-04T00:00:00.000000Z,accidente,critica,17203
11,2023-11-11T00:00:00.000000Z,accidente,media,18354
12,2020-12-25T00:00:00.000000Z,dano estructural,media,17446
13,2020-10-18T00:00:00.000000Z,caida,media,18411
14,2024-09-25T00:00:00.000000Z,caida,media,18294
15,2019-12-11T00:00:00.000000Z,dano estructural,media,52102
16,2024-07-10T00:00:00.000000Z,caida,media,18321
17,2020-12-07T00:00:00.000000Z,vandalismo,baja,18203
18,2020-01-30T00:00:00.000000Z,dano estructural,media,17181
19,2020-07-21T00:00:00.000000Z,vandalismo,alta,17701
20,2021-08-14T00:00:00.000000Z,dano estructural,baja,52114
21,2020-10-09T00:00:00.000000Z,dano estructural,baja,17907
22,2019-11-18T00:00:00.000000Z,vandalismo,media,52105
23,2022-04-08T00:00:00.000000Z,caida,media,7889423
24,2024-06-03T00:00:00.000000Z,caida,media,18118
25,2021-06-03T00:00:00.000000Z,robo,baja,52060
26,2020-11-16T00:00:00.000000Z,vandalismo,alta,6880820
27,2019-11-27T00:00:00.000000Z,accidente,media,17849
28,2023-09-18T00:00:00.000000Z,dano estructural,critica,17769
29,2023-10-22T00:00:00.000000Z,accidente,baja,17091
30,2020-08-23T00:00:00.000000Z,dano estructural,alta,5219934
31,2021-06-15T00:00:00.000000Z,vandalismo,alta,17629
32,2024-04-13T00:00:00.000000Z,caida,critica,18355
33,2020-06-01T00:00:00.000000Z,caida,baja,17149
34,2024-07-16T00:00:00.000000Z,accidente,alta,17768
35,2024-01-12T00:00:00.000000Z,vandalismo,baja,16763
36,2024-07-28T00:00:00.000000Z,caida,media,3568959
37,2023-09-13T00:00:00.000000Z,accidente,critica,16928
38,2024-07-26T00:00:00.000000Z,accidente,alta,17026
39,2024-03-24T00:00:00.000000Z,dano estructural,critica,4985928
40,2022-03-08T00:00:00.000000Z,caida,alta,3573055
41,2023-09-27T00:00:00.000000Z,dano estructural,critica,18010
42,2023-04-14T00:00:00.000000Z,accidente,media,17765
43,2021-01-12T00:00:00.000000Z,dano estructural,alta,7356671
44,2021-04-16T00:00:00.000000Z,dano estructural,baja,17256
45,2024-02-10T00:00:00.000000Z,accidente,media,16731
46,2022-05-17T00:00:00.000000Z,caida,critica,18492
47,2021-04-11T00:00:00.000000Z,robo,media,17123
48,2021-10-08T00:00:00.000000Z,caida,alta,8799950
49,2023-11-13T00:00:00.000000Z,dano estructural,media,17311
50,2020-07-26T00:00:00.000000Z,dano estructural,media,18430
51,2021-10-03T00:00:00.000000Z,caida,baja,18519
52,2024-01-22T00:00:00.000000Z,accidente,alta,52055
53,2021-03-04T00:00:00.000000Z,caida,critica,52088
54,2022-11-28T00:00:00.000000Z,dano estructural,baja,7126517
55,2022-09-28T00:00:00.000000Z,accidente,alta,17798
56,2023-09-30T00:00:00.000000Z,accidente,alta,16935
57,2022-12-17T00:00:00.000000Z,caida,media,17997
58,2022-07-17T00:00:00.000000Z,dano estructural,baja,18481
59,2023-04-13T00:00:00.000000Z,robo,critica,52046
60,2020-08-30T00:00:00.000000Z,dano estructural,alta,5056315
61,2019-11-03T00:00:00.000000Z,robo,baja,4986445
62,2023-06-09T00:00:00.000000Z,robo,critica,3566363
63,2022-05-15T00:00:00.000000Z,vandalismo,media,18527
64,2020-09-04T00:00:00.000000Z,caida,media,18548
65,2023-01-23T00:00:00.000000Z,robo,critica,16986
66,2024-01-14T00:00:00.000000Z,dano estructural,baja,16914
67,2021-09-12T00:00:00.000000Z,dano estructural,media,16830
68,2020-02-28T00:00:00.000000Z,dano estructural,media,7862164
69,2021-04-29T00:00:00.000000Z,dano estructural,critica,16669
70,2020-01-06T00:00:00.000000Z,vandalismo,critica,7838817
71,2022-03-18T00:00:00.000000Z,dano estructural,alta,17710
72,2024-03-18T00:00:00.000000Z,dano estructural,critica,7107695
73,2021-10-01T00:00:00.000000Z,dano estructural,alta,18003
74,2024-03-05T00:00:00.000000Z,robo,alta,17977
75,2024-10-01T00:00:00.000000Z,robo,critica,18524
76,2024-02-22T00:00:00.000000Z,accidente,media,18468
77,2019-07-11T00:00:00.000000Z,vandalismo,media,18085
78,2024-09-05T00:00:00.000000Z,dano estructural,baja,17087
79,2022-05-03T00:00:00.000000Z,robo,critica,17304
80,2022-11-20T00:00:00.000000Z,accidente,media,17905
81,2022-05-05T00:00:00.000000Z,robo,baja,5246196
82,2022-07-29T00:00:00.000000Z,caida,critica,4986142
83,2020-06-11T00:00:00.000000Z,robo,critica,18220
84,2019-01-11T00:00:00.000000Z,robo,baja,17739
85,2020-06-22T00:00:00.000000Z,robo,alta,52116
86,2022-09-08T00:00:00.000000Z,dano estructural,baja,17900
