ID,DESC_CLASIFICACION,COD_BARRIO,BARRIO,COD_DISTRITO,DISTRITO,ESTADO,COORD_GIS_X,COORD_GIS_Y,SISTEMA_COORD,LATITUD,LONGITUD,TIPO_VIA,NOM_VIA,NUM_VIA,COD_POSTAL,DIRECCION_AUX,NDP,FECHA_INSTALACION,CODIGO_INTERNO,CONTRATO_COD,TIPO,TOTAL_ELEM,CAPACIDAD_MAX
16657,Área Infantil,15,UNIVERSIDAD,1,CENTRO,OPERATIVO,439600.898,4475235.511,ETRS89,40.42556179,-3.71202019,PLAZA,CRISTINO MARTOS,2,28015.0,"Pza · PLAZA CRISTINO MARTOS , ASCENDIENTE 1: 015",11006548.0,2004-01-01 00:00:00.0,01004,AE21,Infantiles,4.0,
16659,Área Infantil,15,UNIVERSIDAD,1,CENTRO,OPERATIVO,440259.0,4475407.99,ETRS89,40.42716308,-3.70427886,PLAZA,DOS DE MAYO,3,28004.0,"Pza · PLAZA DEL DOS DE MAYO 3 , ASCENDIENTE 1: 01",11006142.0,2006-11-21 00:00:00.0,01006,AE21,Infantiles,8.0,
16661,Área Infantil,14,JUSTICIA,1,CENTRO,OPERATIVO,441256.019,4475200.267,ETRS89,40.42536281,-3.69250676,PLAZA,VILLA DE PARIS,1,28004.0,"Pza · PLAZA DE LA VILLA DE PARIS , ZONA 1",11005131.0,2007-06-20 00:00:00.0,01009,AE21,Infantiles,16.0,
16663,Área Infantil,11,PALACIO,1,CENTRO,OPERATIVO,438915.13,4474119.77,ETRS89,40.41546065,-3.71999665,PASEO,VIRGEN DEL PUERTO,3 B,28005.0,"Pq · PARQUE DE ATENAS , ASCENDIENTE 1: 011 · PALA",31044315.0,2004-01-01 00:00:00.0,01010,AE21,Infantiles,17.0,
16665,Área Infantil,11,PALACIO,1,CENTRO,OPERATIVO,439005.2,4474092.66,ETRS89,40.41522303,-3.71893249,,,,,"Pq · PARQUE DE ATENAS , ASCENDIENTE 1: 011 · PALA",31047537.0,2004-01-01 00:00:00.0,01012,AE21,Infantiles,4.0,
16667,Área Infantil,11,PALACIO,1,CENTRO,OPERATIVO,439138.411,4473621.593,ETRS89,40.4109892,-3.71731742,CALLE,ALGECIRAS,4,28005.0,"C · CALLE DE ALGECIRAS , ASCENDIENTE 1: 011 · PAL",11001113.0,2004-01-01 00:00:00.0,01014,AE21,Infantiles,8.0,
16669,Área Infantil,12,EMBAJADORES,1,CENTRO,OPERATIVO,439733.864,4473204.282,ETRS89,40.40727319,-3.71026037,GLORIETA,PUERTA DE TOLEDO,1,28005.0,"Pza · PLAZA PUERTA DE TOLEDO , ASCENDIENTE 1: 012",20105763.0,2004-01-01 00:00:00.0,01016,AE21,Infantiles,14.0,
16671,Área Infantil,11,PALACIO,1,CENTRO,OPERATIVO,439371.715,4473323.183,ETRS89,40.40831801,-3.71453946,CALLE,VENTOSA,23,28005.0,"C · CALLE VENTOSA , ASCENDIENTE 1: 011 · PALACIO",11001131.0,2004-01-01 00:00:00.0,01018,AE21,Infantiles,10.0,
16674,Área Infantil,12,EMBAJADORES,1,CENTRO,OPERATIVO,440322.89,4473469.62,ETRS89,40.40970592,-3.70334385,CALLE,AMPARO,28,28012.0,"C · CALLE MESON DE PAREDES 46 , ASCENDIENTE 1: 01",11002104.0,2007-05-17 00:00:00.0,01020,AE21,Infantiles,6.0,
16676,Área Infantil,12,EMBAJADORES,1,CENTRO,OPERATIVO,440288.04,4473330.87,ETRS89,40.40845349,-3.70374154,,,,,"Pza · PLAZA AGUSTÍN LARA , ASCENDIENTE 1: 012 · E",11002132.0,2004-01-01 00:00:00.0,01022,AE21,Infantiles,11.0,
16678,Área Infantil,13,CORTES,1,CENTRO,OPERATIVO,440562.68,4474038.459,ETRS89,40.41484745,-3.70057107,CALLE,PRINCIPE,5,28012.0,"Pza · PLAZA SANTA ANA , ASCENDIENTE 1: 013 · CORT",11003843.0,2007-06-28 00:00:00.0,01024,AE21,Infantiles,6.0,
16680,Área Infantil,13,CORTES,1,CENTRO,OPERATIVO,441128.91,4474218.23,ETRS89,40.41650716,-3.69391418,,,,,"Pº · PASEO PRADO 6 , ASCENDIENTE 1: 013 · CORTES",31047833.0,2004-01-01 00:00:00.0,01027,AE21,Infantiles,14.0,
16682,Área Infantil,13,CORTES,1,CENTRO,OPERATIVO,440997.38,4473845.72,ETRS89,40.41314209,-3.69542987,,,,,"C · CALLE HUERTAS 70 , ASCENDIENTE 1: 013 · CORTE",11003476.0,2007-06-28 00:00:00.0,01029,AE21,Infantiles,7.0,
16684,Área Infantil,12,EMBAJADORES,1,CENTRO,OPERATIVO,440139.376,4473092.893,ETRS89,40.406299,-3.70547112,CALLE,CASINO,5,28012.0,"C · CALLE EMBAJADORES 47 , ASCENDIENTE 1: 012 · E",11002228.0,2007-04-24 00:00:00.0,01030,AE21,Infantiles,24.0,
16686,Área Infantil,11,PALACIO,1,CENTRO,OPERATIVO,439854.28,4474604.45,ETRS89,40.41989527,-3.7089737,,,,,"C · CALLE CUESTA DE SANTO DOMINGO 16 , ASCENDIENT",11000193.0,2007-07-16 00:00:00.0,01032,AE21,Infantiles,5.0,
16690,Área Infantil,15,UNIVERSIDAD,1,CENTRO,OPERATIVO,440296.31,4475362.82,ETRS89,40.42675884,-3.7038348,PLAZA,DOS DE MAYO,9,28004.0,"Pza · PLAZA DEL DOS DE MAYO , ASCENDIENTE 1: 015",11006172.0,2006-11-20 00:00:00.0,01036,AE21,Infantiles,8.0,
16692,Área Infantil,14,JUSTICIA,1,CENTRO,OPERATIVO,440935.955,4475382.786,ETRS89,40.42698437,-3.69629654,PLAZA,SANTA BARBARA,8,28004.0,"Pza · PLAZA SANTA BARBARA , ASCENDIENTE 1: 014 ·",11005154.0,2011-04-15 00:00:00.0,01038,AE21,Infantiles,5.0,
16699,Área Infantil,21,IMPERIAL,2,ARGANZUELA,OPERATIVO,439096.42,4472942.9,ETRS89,40.40487215,-3.71774733,CALLE,COBOS DE SEGOVIA,17,28005.0,"CALLE COBOS DE SEGOVIA 15-17 POST. CON C/ SAN GARCÍA, ASCENDIENTE 1: 021 ·",20108116.0,2005-05-11 00:00:00.0,02002,AE21,Infantiles,12.0,
16701,Área Infantil,21,IMPERIAL,2,ARGANZUELA,OPERATIVO,439274.723,4473085.281,ETRS89,40.40616781,-3.71565978,CALLE,MUÑOPEDRO,6,28005.0,"CALLE MUÑOPEDRO 22 ZONA 1 , ASCENDIENTE 1: 021 ·",31001522.0,2004-09-13 00:00:00.0,02004,AE21,Infantiles,11.0,
16703,Área Infantil,21,IMPERIAL,2,ARGANZUELA,OPERATIVO,438765.91,4472859.92,ETRS89,40.40410039,-3.72163411,CALLE,SAN ALEJANDRO,10,28005.0,"PARQUE SAN ALEJANDRO PADILLA JARDIN DEL MAESTRO PADILLA FRENTE 8-10, ASCENDIENTE 1: 021 ·",11008204.0,2004-09-13 00:00:00.0,02006,AE21,Infantiles,10.0,
16709,Área Infantil,22,ACACIAS,2,ARGANZUELA,OPERATIVO,439935.24,4472267.19,ETRS89,40.39884597,-3.70779882,CALLE,NAVES,9,28005.0,"CALLE NAVES 9 POSTERIOR, ASCENDIENTE 1: 022 · ACACIAS",20007452.0,2004-12-02 00:00:00.0,02015,AE21,Infantiles,6.0,
16711,Área Infantil,22,ACACIAS,2,ARGANZUELA,OPERATIVO,439981.56,4472362.09,ETRS89,40.39970421,-3.70726198,CALLE,ARGANDA,32,28005.0,"CALLE ARGANDA 39 POSTERIOR , ASCENDIENTE 1: 022 · ACACI",11010584.0,2004-12-02 00:00:00.0,02017,AE21,Infantiles,6.0,
16713,Área Infantil,26,PALOS DE LA FRONTERA,2,ARGANZUELA,OPERATIVO,441397.64,4472484.2,ETRS89,40.4009051,-3.69058718,CALLE,GENERAL LACY,50,28045.0,"CALLE GENERAL LACY FRENTE AL Nº 50 , ASCENDIENTE 1: 026 · PAL",11009960.0,2006-03-21 00:00:00.0,02019,AE21,Infantiles,5.0,
16715,Área Infantil,22,ACACIAS,2,ARGANZUELA,OPERATIVO,439936.24,4472639.29,ETRS89,40.4021981,-3.70782215,CALLE,GASOMETRO,32,28005.0,"CALLE VALLEJO NAJERA C/ GASÓMETRO, ASCENDIENTE 1: 022 · A",31044316.0,2006-01-11 00:00:00.0,02020,AE21,Infantiles,10.0,
16717,Área Infantil,22,ACACIAS,2,ARGANZUELA,OPERATIVO,440229.186,4472582.032,ETRS89,40.40170337,-3.70436479,PASEO,JUAN ANTONIO VALLEJO-NAJERA BOTAS,20,28005.0,"PARQUE PARROCO SANCHEZ CAMARA C/ DOCTOR VALLEJO NÁJERA, ASCENDIENTE",20118591.0,2005-12-22 00:00:00.0,02022,AE21,Infantiles,14.0,
